region,regional_office,region_number,state_or_territory
Region 1,"Boston, MA",1,Connecticut
Region 1,"Boston, MA",1,Maine
Region 1,"Boston, MA",1,Massachusetts
Region 1,"Boston, MA",1,New Hampshire
Region 1,"Boston, MA",1,Rhode Island
Region 1,"Boston, MA",1,Vermont
Region 2,"New York, NY",2,New Jersey
Region 2,"New York, NY",2,New York
Region 2,"New York, NY",2,Puerto Rico
Region 2,"New York, NY",2,Virgin Islands
Region 3,"Philadelphia, PA",3,Delaware
Region 3,"Philadelphia, PA",3,District of Columbia
Region 3,"Philadelphia, PA",3,Maryland
Region 3,"Philadelphia, PA",3,Pennsylvania
Region 3,"Philadelphia, PA",3,Virginia
Region 3,"Philadelphia, PA",3,West Virginia
Region 4,"Atlanta, GA",4,Alabama
Region 4,"Atlanta, GA",4,Florida
Region 4,"Atlanta, GA",4,Georgia
Region 4,"Atlanta, GA",4,Kentucky
Region 4,"Atlanta, GA",4,Mississippi
Region 4,"Atlanta, GA",4,North Carolina
Region 4,"Atlanta, GA",4,South Carolina
Region 4,"Atlanta, GA",4,Tennessee
Region 5,"Chicago, IL",5,Illinois
Region 5,"Chicago, IL",5,Indiana
Region 5,"Chicago, IL",5,Michigan
Region 5,"Chicago, IL",5,Minnesota
Region 5,"Chicago, IL",5,Ohio
Region 5,"Chicago, IL",5,Wisconsin
Region 6,"Dallas, TX",6,Arkansas
Region 6,"Dallas, TX",6,Louisiana
Region 6,"Dallas, TX",6,New Mexico
Region 6,"Dallas, TX",6,Oklahoma
Region 6,"Dallas, TX",6,Texas
Region 7,"Kansas City, MO",7,Iowa
Region 7,"Kansas City, MO",7,Kansas
Region 7,"Kansas City, MO",7,Missouri
Region 7,"Kansas City, MO",7,Nebraska
Region 8,"Denver, CO",8,Colorado
Region 8,"Denver, CO",8,Montana
Region 8,"Denver, CO",8,North Dakota
Region 8,"Denver, CO",8,South Dakota
Region 8,"Denver, CO",8,Utah
Region 8,"Denver, CO",8,Wyoming
Region 9,"San Francisco, CA",9,Arizona
Region 9,"San Francisco, CA",9,California
Region 9,"San Francisco, CA",9,Hawaii
Region 9,"San Francisco, CA",9,Nevada
Region 9,"San Francisco, CA",9,American Samoa
Region 9,"San Francisco, CA",9,Guam
Region 9,"San Francisco, CA",9,Northern Mariana Islands
Region 10,"Seattle, WA",10,Alaska
Region 10,"Seattle, WA",10,Idaho
Region 10,"Seattle, WA",10,Oregon
Region 10,"Seattle, WA",10,Washington
